HomeNo|Channel|StartTime|Activity
43|50|20210222132018|Playback
95|70|20210222132015|Playback
54|51|20210222132013|Playback
24|24|20210222132009|Live
84|5|20210222132004|Live
24|29|20210222131955|Live
9|66|20210222131950|Live
10|47|20210222131942|Live
15|65|20210222131942|Live
79|37|20210222131935|Live
87|25|20210222131933|Live
2|58|20210222131933|Playback
97|71|20210222131933|Live
8|12|20210222131933|Live
83|42|20210222131927|Live
40|27|20210222131927|Playback
78|82|20210222131918|Live
44|29|20210222131914|Live
20|23|20210222131908|Live
29|37|20210222131901|Live
96|76|20210222131858|Live
22|75|20210222131850|Playback
69|79|20210222131841|Live
90|47|20210222131840|Live
23|37|20210222131831|Live
93|19|20210222131823|Live
7|60|20210222131815|Playback
31|27|20210222131810|Live
14|23|20210222131803|Live
4|92|20210222131754|Live
82|70|20210222131753|Live
88|15|20210222131745|Playback
55|36|20210222131740|Playback
51|97|20210222131734|Playback
59|98|20210222131726|Playback
86|87|20210222131723|Live
14|10|20210222131718|Playback
12|84|20210222131715|Playback
22|30|20210222131710|Playback
53|28|20210222131705|Playback
44|93|20210222131701|Live
78|21|20210222131659|Playback
56|59|20210222131656|Playback
90|45|20210222131654|Live
72|30|20210222131649|Playback
99|8|20210222131646|Live
90|29|20210222131640|Live
78|20|20210222131638|Live
88|77|20210222131633|Live
94|77|20210222131626|Live
11|63|20210222131617|Playback
89|97|20210222131609|Live
77|55|20210222131601|Playback
40|51|20210222131600|Live
64|24|20210222131557|Playback
47|57|20210222131554|Live
46|51|20210222131551|Live
86|63|20210222131547|Playback
23|7|20210222131546|Live
17|63|20210222131537|Live
100|8|20210222131532|Live
69|97|20210222131529|Playback
42|50|20210222131526|Live
48|38|20210222131524|Playback
79|20|20210222131523|Live
16|22|20210222131517|Playback
100|55|20210222131511|Live
91|96|20210222131511|Playback
61|14|20210222131508|Live
24|58|20210222131507|Live
20|21|20210222131459|Playback
60|59|20210222131456|Live
57|68|20210222131449|Playback
22|59|20210222131441|Playback
38|83|20210222131432|Playback
63|62|20210222131429|Live
60|0|20210222131424|Live
94|50|20210222131419|Playback
20|10|20210222131412|Live
97|48|20210222131409|Live
3|46|20210222131403|Playback
5|56|20210222131355|Playback
46|30|20210222131352|Live
97|55|20210222131348|Live
86|80|20210222131346|Playback
31|90|20210222131346|Live
84|48|20210222131341|Live
65|30|20210222131337|Live
61|27|20210222131332|Playback
20|70|20210222131329|Playback
27|5|20210222131321|Playback
20|14|20210222131312|Playback
14|7|20210222131308|Live
46|64|20210222131300|Playback
15|73|20210222131300|Playback
89|27|20210222131252|Live
32|67|20210222131250|Playback
13|26|20210222131243|Live
78|47|20210222131238|Live
14|23|20210222131236|Playback
68|0|20210222131228|Live
53|82|20210222131219|Live
94|26|20210222131212|Playback
36|61|20210222131212|Live
71|29|20210222131204|Live
34|91|20210222131158|Playback
81|97|20210222131149|Live
9|42|20210222131146|Live
81|13|20210222131145|Live
22|7|20210222131142|Playback
92|90|20210222131136|Live
72|50|20210222131131|Playback
2|42|20210222131130|Playback
64|5|20210222131124|Live
46|67|20210222131119|Live
78|80|20210222131115|Live
55|35|20210222131110|Live
18|59|20210222131102|Playback
57|63|20210222131054|Playback
67|40|20210222131047|Live
6|58|20210222131047|Live
79|28|20210222131046|Live
92|72|20210222131040|Live
24|19|20210222131036|Playback
85|41|20210222131028|Playback
96|50|20210222131025|Playback
85|82|20210222131018|Live
62|67|20210222131009|Playback
1|28|20210222131008|Live
50|8|20210222131000|Live
28|13|20210222130956|Live
85|93|20210222130951|Live
68|1|20210222130948|Playback
34|45|20210222130942|Live
41|46|20210222130941|Playback
9|53|20210222130936|Playback
33|45|20210222130932|Live
51|6|20210222130931|Live
40|22|20210222130929|Live
15|97|20210222130928|Live
38|16|20210222130928|Live
94|50|20210222130927|Live
87|64|20210222130918|Live
19|39|20210222130917|Live
22|29|20210222130915|Live
100|84|20210222130909|Live
66|99|20210222130904|Playback
83|55|20210222130901|Live
42|49|20210222130853|Playback
69|35|20210222130851|Live
30|68|20210222130848|Playback
70|98|20210222130844|Live
78|59|20210222130841|Playback
98|24|20210222130837|Live
62|71|20210222130833|Live
80|79|20210222130829|Playback
60|86|20210222130829|Live
59|67|20210222130824|Live
63|93|20210222130822|Live
72|37|20210222130818|Live
59|12|20210222130817|Live
12|45|20210222130815|Live
82|50|20210222130815|Live
88|69|20210222130809|Playback
4|32|20210222130809|Playback
31|38|20210222130802|Live
36|36|20210222130800|Live
18|20|20210222130759|Live
40|95|20210222130758|Live
56|43|20210222130756|Live
100|94|20210222130747|Live
49|78|20210222130745|Playback
91|10|20210222130742|Live
3|64|20210222130736|Live
72|21|20210222130736|Live
19|51|20210222130729|Playback
6|82|20210222130721|Live
4|38|20210222130720|Live
11|21|20210222130714|Live
92|48|20210222130706|Live
92|69|20210222130657|Playback
21|61|20210222130653|Live
87|79|20210222130644|Live
69|2|20210222130638|Live
67|43|20210222130634|Live
5|55|20210222130629|Live
56|43|20210222130627|Live
41|61|20210222130624|Live
24|9|20210222130616|Live
2|98|20210222130615|Live
97|67|20210222130606|Playback
66|69|20210222130606|Live
21|26|20210222130559|Playback
51|48|20210222130551|Live
77|38|20210222130551|Live
52|28|20210222130542|Live
45|21|20210222130538|Live
29|77|20210222130531|Live
51|33|20210222130522|Live
7|69|20210222130515|Playback
4|0|20210222130513|Live
22|55|20210222130505|Live
72|40|20210222130500|Live
64|33|20210222130453|Live
57|26|20210222130446|Live
60|0|20210222130444|Live
52|56|20210222130444|Playback
68|8|20210222130436|Live
34|65|20210222130435|Live
77|99|20210222130435|Playback
52|81|20210222130432|Live
86|5|20210222130426|Live
7|44|20210222130424|Live
25|46|20210222130421|Live
61|61|20210222130418|Playback
36|52|20210222130417|Playback
97|9|20210222130413|Live
9|84|20210222130405|Live
42|35|20210222130404|Live
58|6|20210222130356|Playback
48|54|20210222130351|Live
97|43|20210222130349|Playback
36|0|20210222130342|Playback
25|64|20210222130336|Playback
12|63|20210222130333|Live
18|74|20210222130327|Playback
21|20|20210222130323|Live
80|58|20210222130320|Live
95|89|20210222130313|Live
20|51|20210222130310|Live
59|84|20210222130308|Playback
5|80|20210222130305|Live
7|52|20210222130302|Live
40|65|20210222130256|Live
77|64|20210222130249|Live
20|63|20210222130249|Live
88|69|20210222130246|Live
30|43|20210222130240|Playback
50|66|20210222130233|Live
9|25|20210222130232|Live
75|11|20210222130224|Live
22|46|20210222130222|Playback
94|9|20210222130221|Live
1|67|20210222130213|Playback
63|17|20210222130211|Live
86|37|20210222130208|Live
95|62|20210222130208|Live
52|5|20210222130208|Live
3|17|20210222130207|Playback
41|95|20210222130206|Live
41|89|20210222130157|Live
16|89|20210222130152|Live
24|26|20210222130151|Live
73|91|20210222130144|Live
44|47|20210222130139|Live
92|42|20210222130133|Playback
35|18|20210222130132|Live
58|30|20210222130123|Live
61|96|20210222130123|Live
93|69|20210222130123|Live
8|88|20210222130115|Live
95|32|20210222130113|Playback
4|42|20210222130109|Live
23|75|20210222130100|Live
32|10|20210222130051|Live
22|30|20210222130046|Playback
46|27|20210222130038|Playback
32|80|20210222130035|Live
71|86|20210222130035|Live
68|4|20210222130033|Playback
3|35|20210222130026|Live
30|16|20210222130019|Live
1|8|20210222130014|Live
76|19|20210222130010|Live
29|50|20210222130004|Playback
60|32|20210222125959|Live
63|97|20210222125953|Playback
51|63|20210222125946|Live
62|89|20210222125943|Playback
45|81|20210222125934|Playback
46|89|20210222125934|Live
38|61|20210222125929|Live
100|69|20210222125928|Playback
66|27|20210222125920|Live
10|69|20210222125911|Playback
46|65|20210222125904|Live
16|21|20210222125904|Live
76|98|20210222125858|Playback
79|40|20210222125854|Playback
98|81|20210222125853|Playback
93|95|20210222125848|Live
74|52|20210222125845|Live
59|85|20210222125845|Live
27|87|20210222125843|Live
9|38|20210222125842|Live
46|59|20210222125840|Live
57|14|20210222125837|Playback
86|85|20210222125831|Live
92|81|20210222125828|Playback
56|15|20210222125825|Live
58|62|20210222125824|Playback
23|99|20210222125815|Playback
90|53|20210222125810|Playback
92|1|20210222125806|Playback
59|31|20210222125805|Live
54|63|20210222125756|Playback
59|54|20210222125751|Playback
60|48|20210222125749|Live
60|99|20210222125748|Live
1|47|20210222125748|Playback
21|2|20210222125742|Live
30|71|20210222125734|Playback
21|62|20210222125730|Live
92|94|20210222125724|Live
52|0|20210222125721|Live
33|83|20210222125719|Live
7|50|20210222125710|Playback
7|90|20210222125701|Live
92|5|20210222125700|Live
32|20|20210222125655|Playback
39|0|20210222125646|Live
38|62|20210222125643|Live
30|64|20210222125636|Playback
52|33|20210222125632|Live
46|36|20210222125624|Live
23|24|20210222125618|Live
51|65|20210222125612|Playback
10|2|20210222125607|Live
82|37|20210222125605|Live
85|15|20210222125602|Live
18|57|20210222125555|Playback
33|80|20210222125555|Playback
66|44|20210222125546|Live
58|86|20210222125537|Live
40|11|20210222125531|Live
27|73|20210222125528|Live
81|72|20210222125526|Live
33|2|20210222125523|Live
59|49|20210222125515|Playback
16|86|20210222125509|Live
69|72|20210222125507|Live
32|18|20210222125500|Live
37|42|20210222125451|Live
4|47|20210222125447|Playback
73|6|20210222125439|Live
22|45|20210222125438|Live
25|45|20210222125432|Playback
32|74|20210222125428|Playback
70|93|20210222125426|Live
68|42|20210222125418|Live
69|3|20210222125413|Playback
49|90|20210222125404|Live
72|87|20210222125401|Live
35|82|20210222125401|Playback
60|0|20210222125355|Live
86|40|20210222125347|Playback
65|79|20210222125343|Live
95|20|20210222125337|Playback
17|14|20210222125330|Live
49|24|20210222125329|Live
40|50|20210222125328|Live
13|4|20210222125320|Live
85|36|20210222125315|Playback
70|68|20210222125307|Live
98|81|20210222125300|Live
54|86|20210222125259|Live
48|79|20210222125250|Playback
22|87|20210222125246|Live
96|28|20210222125243|Live
48|31|20210222125241|Live
38|30|20210222125235|Live
48|39|20210222125229|Playback
30|36|20210222125221|Live
50|67|20210222125220|Live
98|9|20210222125219|Playback
26|22|20210222125210|Live
65|25|20210222125205|Playback
84|83|20210222125203|Playback
66|45|20210222125159|Live
24|35|20210222125156|Playback
12|15|20210222125147|Live
98|7|20210222125142|Playback
15|13|20210222125140|Live
98|85|20210222125140|Playback
22|24|20210222125137|Live
45|28|20210222125130|Live
18|79|20210222125125|Live
17|46|20210222125124|Playback
17|59|20210222125123|Live
17|55|20210222125120|Live
16|6|20210222125111|Playback
86|12|20210222125104|Live
15|22|20210222125055|Live
30|42|20210222125053|Live
80|93|20210222125051|Live
40|67|20210222125051|Playback
3|0|20210222125047|Live
86|37|20210222125044|Live
83|93|20210222125036|Playback
57|92|20210222125034|Playback
48|83|20210222125030|Live
76|34|20210222125025|Live
55|38|20210222125023|Live
25|82|20210222125018|Live
24|57|20210222125010|Playback
14|51|20210222125001|Live
19|50|20210222124954|Playback
61|51|20210222124953|Live
37|62|20210222124953|Playback
43|31|20210222124947|Playback
47|43|20210222124941|Playback
96|23|20210222124940|Playback
40|51|20210222124935|Playback
9|52|20210222124932|Playback
89|60|20210222124928|Live
60|3|20210222124925|Playback
19|20|20210222124921|Live
11|85|20210222124917|Live
41|40|20210222124908|Live
45|94|20210222124900|Live
25|18|20210222124851|Playback
50|40|20210222124843|Live
99|76|20210222124835|Playback
67|79|20210222124835|Live
41|89|20210222124831|Live
55|96|20210222124823|Live
15|76|20210222124822|Live
7|12|20210222124821|Playback
49|42|20210222124814|Live
74|99|20210222124808|Playback
68|78|20210222124802|Live
53|15|20210222124802|Live
52|32|20210222124758|Live
76|44|20210222124750|Playback
32|0|20210222124749|Live
43|31|20210222124741|Live
83|94|20210222124740|Live
66|5|20210222124731|Playback
12|93|20210222124723|Playback
72|47|20210222124722|Live
71|22|20210222124721|Live
74|37|20210222124712|Live
37|72|20210222124704|Live
5|21|20210222124700|Live
43|42|20210222124654|Live
48|63|20210222124649|Playback
43|86|20210222124645|Playback
70|52|20210222124644|Playback
14|86|20210222124637|Playback
9|80|20210222124637|Live
40|75|20210222124636|Live
72|89|20210222124627|Live
98|20|20210222124624|Live
92|59|20210222124616|Playback
22|49|20210222124609|Live
48|24|20210222124602|Live
93|89|20210222124555|Live
9|0|20210222124554|Live
64|38|20210222124551|Live
26|3|20210222124551|Live
23|94|20210222124551|Live
72|67|20210222124551|Playback
72|93|20210222124550|Live
2|89|20210222124547|Playback
72|75|20210222124540|Live
29|40|20210222124533|Live
21|49|20210222124528|Live
69|0|20210222124522|Live
58|17|20210222124520|Live
26|50|20210222124511|Live
54|27|20210222124504|Live
51|78|20210222124501|Playback
56|52|20210222124456|Live
90|82|20210222124452|Live
7|35|20210222124447|Live
14|2|20210222124438|Live
28|72|20210222124437|Live
39|68|20210222124435|Live
2|23|20210222124435|Live
13|67|20210222124432|Live
68|31|20210222124423|Live
24|2|20210222124420|Live
7|53|20210222124412|Live
1|67|20210222124403|Playback
99|40|20210222124400|Playback
59|45|20210222124353|Live
58|84|20210222124351|Live
46|84|20210222124346|Live
69|5|20210222124346|Live
3|22|20210222124341|Playback
4|71|20210222124336|Playback
81|53|20210222124327|Live
9|77|20210222124320|Live
89|26|20210222124312|Live
94|59|20210222124308|Live
7|93|20210222124307|Live
73|97|20210222124301|Live
79|15|20210222124300|Playback
67|20|20210222124300|Live
92|10|20210222124300|Live
34|50|20210222124254|Live
79|93|20210222124248|Live
44|84|20210222124241|Live
68|35|20210222124241|Live
6|84|20210222124239|Playback
43|26|20210222124234|Live
50|45|20210222124227|Live
84|33|20210222124227|Live
16|88|20210222124225|Live
63|84|20210222124216|Live
10|30|20210222124212|Playback
100|20|20210222124212|Live
40|82|20210222124209|Live
48|46|20210222124203|Live
91|1|20210222124156|Live
54|94|20210222124152|Live
97|42|20210222124147|Live
26|66|20210222124141|Live
63|98|20210222124141|Playback
16|90|20210222124138|Playback
29|87|20210222124132|Playback
22|23|20210222124130|Live
94|34|20210222124124|Live
17|46|20210222124123|Playback
92|18|20210222124118|Live
56|7|20210222124117|Live
11|35|20210222124117|Playback
72|28|20210222124114|Playback
91|50|20210222124107|Live
64|29|20210222124104|Playback
13|30|20210222124055|Live
39|43|20210222124052|Live
90|46|20210222124043|Live
64|47|20210222124035|Live
71|23|20210222124034|Live
48|38|20210222124032|Live
17|60|20210222124031|Playback
100|28|20210222124026|Live
42|49|20210222124021|Live
10|35|20210222124016|Live
25|94|20210222124008|Live
8|34|20210222124005|Playback
62|84|20210222124004|Live
16|24|20210222124003|Live
83|84|20210222124003|Live
20|85|20210222123955|Live
48|4|20210222123946|Playback
31|85|20210222123941|Live
95|20|20210222123933|Playback
18|1|20210222123924|Live
88|50|20210222123919|Live
43|83|20210222123919|Live
50|39|20210222123919|Live
17|14|20210222123912|Live
83|95|20210222123905|Live
38|1|20210222123901|Live
80|41|20210222123854|Live
38|99|20210222123848|Live
6|10|20210222123848|Live
98|57|20210222123845|Live
41|77|20210222123838|Live
15|13|20210222123834|Live
32|98|20210222123828|Live
34|3|20210222123822|Live
62|28|20210222123821|Live
66|31|20210222123814|Live
78|12|20210222123812|Playback
21|88|20210222123804|Live
32|65|20210222123759|Live
45|1|20210222123750|Playback
62|64|20210222123742|Live
9|39|20210222123733|Live
19|83|20210222123724|Live
48|99|20210222123718|Live
2|44|20210222123716|Live
52|39|20210222123707|Live
72|12|20210222123704|Playback
60|18|20210222123700|Live
57|14|20210222123655|Live
89|50|20210222123651|Playback
86|19|20210222123647|Playback
50|86|20210222123646|Live
42|77|20210222123642|Playback
35|70|20210222123641|Playback
87|50|20210222123634|Playback
49|8|20210222123629|Live
77|7|20210222123624|Live
91|78|20210222123623|Live
60|4|20210222123615|Live
42|53|20210222123606|Playback
20|36|20210222123600|Live
61|77|20210222123552|Live
88|14|20210222123546|Live
41|87|20210222123543|Live
75|0|20210222123540|Playback
78|73|20210222123536|Live
15|65|20210222123527|Playback
48|82|20210222123527|Live
70|16|20210222123521|Live
7|80|20210222123517|Playback
12|13|20210222123516|Live
59|64|20210222123512|Playback
94|9|20210222123511|Live
68|46|20210222123508|Live
25|67|20210222123503|Live
46|31|20210222123457|Live
99|54|20210222123455|Live
57|32|20210222123454|Live
52|71|20210222123451|Live
10|85|20210222123451|Live
99|98|20210222123444|Live
79|9|20210222123444|Playback
70|25|20210222123437|Playback
10|82|20210222123434|Live
60|78|20210222123425|Live
55|24|20210222123418|Live
93|79|20210222123413|Live
17|36|20210222123412|Playback
4|42|20210222123404|Live
4|34|20210222123359|Playback
16|64|20210222123351|Live
1|93|20210222123348|Live
28|0|20210222123341|Playback
56|67|20210222123336|Playback
11|54|20210222123329|Live
17|12|20210222123326|Live
43|30|20210222123325|Live
39|78|20210222123320|Playback
53|8|20210222123318|Live
51|55|20210222123318|Live
91|75|20210222123315|Live
53|11|20210222123311|Live
92|32|20210222123311|Playback
14|9|20210222123309|Live
59|97|20210222123301|Live
19|31|20210222123253|Live
100|57|20210222123244|Playback
72|53|20210222123238|Playback
61|15|20210222123232|Playback
62|36|20210222123228|Live
22|68|20210222123227|Live
23|20|20210222123220|Live
1|68|20210222123211|Playback
98|99|20210222123208|Live
61|2|20210222123200|Live
59|73|20210222123200|Live
19|38|20210222123155|Live
71|52|20210222123155|Playback
80|39|20210222123155|Live
61|47|20210222123153|Live
19|75|20210222123151|Playback
78|77|20210222123146|Live
49|84|20210222123143|Live
6|73|20210222123137|Playback
39|22|20210222123130|Live
87|4|20210222123129|Playback
10|41|20210222123127|Live
21|96|20210222123122|Live
99|49|20210222123118|Live
44|77|20210222123111|Live
75|70|20210222123108|Live
23|39|20210222123100|Live
24|32|20210222123052|Live
24|85|20210222123051|Live
49|37|20210222123048|Playback
8|49|20210222123048|Live
57|47|20210222123046|Live
92|7|20210222123041|Playback
99|97|20210222123038|Live
62|69|20210222123037|Live
83|67|20210222123032|Live
80|10|20210222123025|Live
80|52|20210222123021|Live
5|56|20210222123016|Live
63|65|20210222123010|Live
13|79|20210222123008|Live
70|61|20210222123003|Live
57|78|20210222123001|Live
90|72|20210222122952|Live
84|47|20210222122952|Live
31|26|20210222122945|Playback
39|76|20210222122944|Live
79|14|20210222122940|Playback
76|34|20210222122932|Live
27|41|20210222122930|Live
2|78|20210222122927|Playback
76|75|20210222122920|Playback
7|64|20210222122914|Live
78|50|20210222122908|Live
29|2|20210222122904|Playback
84|7|20210222122904|Playback
14|94|20210222122903|Live
2|66|20210222122857|Live
59|65|20210222122854|Live
13|75|20210222122850|Live
95|21|20210222122843|Live
18|25|20210222122841|Live
60|88|20210222122835|Live
51|40|20210222122834|Live
40|25|20210222122825|Live
27|56|20210222122822|Live
97|32|20210222122820|Live
85|73|20210222122813|Playback
34|86|20210222122813|Live
46|94|20210222122810|Playback
100|40|20210222122801|Live
18|85|20210222122757|Live
5|42|20210222122750|Playback
43|10|20210222122745|Live
11|10|20210222122740|Live
65|1|20210222122736|Live
69|44|20210222122736|Live
18|51|20210222122728|Live
20|92|20210222122719|Playback
3|40|20210222122710|Playback
11|1|20210222122709|Live
13|33|20210222122701|Live
32|98|20210222122657|Playback
24|74|20210222122649|Playback
56|81|20210222122644|Live
59|13|20210222122639|Playback
2|62|20210222122639|Playback
25|36|20210222122633|Live
52|55|20210222122629|Live
85|89|20210222122622|Playback
51|58|20210222122622|Live
79|17|20210222122620|Live
83|15|20210222122620|Live
51|95|20210222122613|Live
88|61|20210222122608|Live
21|87|20210222122602|Live
46|90|20210222122554|Live
15|97|20210222122548|Live
45|37|20210222122546|Playback
4|62|20210222122542|Live
61|41|20210222122535|Live
85|67|20210222122526|Live
79|89|20210222122526|Playback
46|70|20210222122523|Playback
17|64|20210222122518|Live
96|74|20210222122512|Live
62|36|20210222122506|Live
69|84|20210222122506|Live
75|83|20210222122501|Live
18|78|20210222122452|Live
78|7|20210222122443|Playback
84|81|20210222122443|Live
35|51|20210222122435|Live
19|40|20210222122433|Playback
9|69|20210222122425|Playback
58|8|20210222122422|Live
93|10|20210222122422|Playback
64|19|20210222122422|Playback
23|77|20210222122421|Playback
59|19|20210222122413|Live
42|5|20210222122404|Live
64|90|20210222122357|Playback
12|94|20210222122348|Live
21|30|20210222122345|Live
91|40|20210222122342|Playback
34|96|20210222122337|Live
12|13|20210222122328|Playback
80|69|20210222122325|Live
39|57|20210222122322|Live
80|21|20210222122314|Live
45|41|20210222122314|Live
76|41|20210222122309|Live
36|47|20210222122308|Live
48|34|20210222122303|Live
34|42|20210222122258|Playback
38|87|20210222122256|Live
26|27|20210222122252|Playback
70|33|20210222122245|Playback
69|24|20210222122240|Live
18|58|20210222122238|Live
97|70|20210222122234|Live
18|4|20210222122233|Live
25|92|20210222122229|Playback
9|48|20210222122221|Live
75|44|20210222122219|Live
30|25|20210222122216|Live
76|86|20210222122213|Live
99|72|20210222122211|Live
99|76|20210222122211|Playback
89|76|20210222122204|Playback
37|31|20210222122202|Live
38|37|20210222122156|Live
25|70|20210222122151|Live
96|70|20210222122144|Live
73|19|20210222122138|Live
52|17|20210222122138|Live
47|16|20210222122132|Playback
100|43|20210222122132|Live
37|39|20210222122131|Playback
35|62|20210222122130|Live
9|59|20210222122124|Live
85|92|20210222122118|Playback
9|12|20210222122117|Live
36|50|20210222122111|Live
24|27|20210222122111|Playback
60|76|20210222122103|Playback
10|24|20210222122057|Playback
62|62|20210222122057|Live
51|10|20210222122048|Live
44|50|20210222122045|Live
60|67|20210222122037|Live
87|62|20210222122031|Playback
80|18|20210222122026|Live
87|92|20210222122017|Live
48|23|20210222122016|Live
63|22|20210222122016|Live
83|39|20210222122009|Live
10|1|20210222122001|Live
26|70|20210222122001|Live
78|3|20210222121959|Live
53|46|20210222121955|Playback
23|59|20210222121952|Live
87|43|20210222121951|Live
44|93|20210222121950|Live
49|6|20210222121949|Live
5|61|20210222121941|Live
75|96|20210222121937|Playback
91|62|20210222121935|Live
97|2|20210222121933|Playback
95|16|20210222121933|Playback
35|3|20210222121932|Live
59|28|20210222121926|Live
76|39|20210222121922|Playback
7|73|20210222121920|Live
42|89|20210222121916|Live
40|79|20210222121915|Playback
8|69|20210222121909|Live
68|80|20210222121904|Live
51|57|20210222121902|Live
75|7|20210222121856|Live
25|63|20210222121850|Live
55|14|20210222121841|Playback
61|29|20210222121835|Live
73|29|20210222121826|Playback
96|77|20210222121818|Live
41|3|20210222121816|Live
60|49|20210222121813|Live
53|78|20210222121809|Playback
8|88|20210222121803|Live
13|27|20210222121755|Live
10|8|20210222121754|Playback
4|57|20210222121751|Live
31|66|20210222121746|Live
66|36|20210222121740|Live
62|81|20210222121734|Playback
12|48|20210222121733|Live
97|60|20210222121725|Live
2|45|20210222121720|Playback
49|62|20210222121715|Live
39|50|20210222121713|Live
78|66|20210222121704|Live
43|32|20210222121658|Live
96|91|20210222121652|Live
96|98|20210222121645|Playback
83|82|20210222121645|Playback
5|12|20210222121644|Playback
52|92|20210222121638|Playback
29|9|20210222121631|Live
37|78|20210222121629|Live
17|67|20210222121628|Live
84|5|20210222121623|Playback
